,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Dell Cameron,"As FTC Chair Lina Khan’s Term Expires, Democrats Are Torn Between Donors and Their Base","New polling shows roughly 80 percent of Democrats feel the government should be doing more to take on corporate monopolies. Still, prominent party donors are urging Kamala Harris to dump Lina Khan.",https://www.wired.com/story/ftc-chair-lina-khans-democrats-donors-harris/,"https://media.wired.com/photos/66ec4e66916a40c37df10fa4/191:100/w_1280,c_limit/GettyImages-1540260535.jpg",2024-09-27T11:30:00Z,"For months, speculation has raged in Washington over the future of Lina Khan, the Federal Trade Commission chair and face of the Biden administrations crusade against monopoly power. Overturning deca… [+3239 chars]",wired,Wired
1,,Kamala Harris goes on offensive with 'tough on border' message,"In her first visit to the border since 2021, the Democratic nominee promised ""common-sense solutions"".",https://www.bbc.com/news/articles/ce9jx3zp13mo,https://ichef.bbci.co.uk/news/1024/branded_news/ecf6/live/5b915000-7d45-11ef-b53a-7bf8e64aaf04.jpg,2024-09-28T02:50:27Z,"US Vice-President Kamala Harris has made a rare trip to the US-Mexico border as she seeks to blunt Republican attacks on immigration.
Harris, who last visited the border in 2021, accused Donald Trum… [+5501 chars]",,BBC News
2,Bryan Metzger,Kamala Harris' marijuana stance is hazier than you think,"Harris has long supported marijuana reforms and once backed legalization, but it remains unclear whether she would go further than Biden.",https://www.businessinsider.com/kamala-harris-marijuana-legalization-stance-2024-9,https://i.insider.com/66f45437f9f6733e4bdf9184?width=1200&format=jpeg,2024-09-27T09:30:02Z,"With Trump signaling some support for marijuana legalization, it's still unclear whether Harris would go further than Biden.Saul Loeb/AFP via Getty Images
<ul><li>Kamala Harris has previously suppor… [+5948 chars]",business-insider,Business Insider
3,Bryan Metzger,Kamala Harris signals she'll go further than Biden on marijuana legalization,"Kamala Harris has historically supported marijuana legalization, but had yet to clarify her stance since launching her current campaign.",https://www.businessinsider.com/harris-marijuana-legalization-biden-views-election-2024-9,https://i.insider.com/66fac8a87518aa57bc9f3a1c?width=1200&format=jpeg,2024-09-30T16:40:06Z,"Vice President Kamala Harris has long held more progressive views on marijuana legalization than President Joe Biden.Chip Somodevilla/Getty Images
<ul><li>Kamala Harris may go further than Joe Biden… [+2649 chars]",business-insider,Business Insider
4,John L. Dorman,Harris' border visit isn't just aimed at Arizona. Immigration will also sway voters in states thousands of miles away.,Kamala Harris is aiming to reassure swing voters across the US that she's the candidate who'll work to deliver on immigration reform.,https://www.businessinsider.com/kamala-harris-arizona-mexico-border-security-immigration-trump-election-2024-9,https://i.insider.com/66f85ff1f44bdb4cfa37ea6b?width=1200&format=jpeg,2024-09-28T20:51:36Z,"Vice President Kamala Harris has directly attacked former President Donald Trump on immigration issues.Justin Sullivan/Getty Images
<ul><li>Kamala Harris in September visited the border for the firs… [+5977 chars]",business-insider,Business Insider
5,Matt Novak,Trump Says He’ll Prosecute Google If He Retakes Power,The former president insists Google is hiding positive news stories about him.,https://gizmodo.com/trump-says-hell-prosecute-google-if-he-retakes-power-2000504499,https://gizmodo.com/app/uploads/2024/09/trump-tie-crooked.jpg,2024-09-27T19:05:27Z,Donald Trump called for the criminal prosecution of Google by the U.S. Justice Department (DOJ) during a flurry of unhinged tweets Friday on his social media platform Truth Social. And in any other p… [+4738 chars],,Gizmodo.com
6,,Ukraine says nine killed in Russia strikes on hospital,"Officials say Sumy's hospital was hit in the morning, and was struck again as rescuers were evacuating people.",https://www.bbc.com/news/articles/ckg9lk4pz7vo,https://ichef.bbci.co.uk/news/1024/branded_news/ca31/live/6e448420-7da3-11ef-ab70-cdb03fec26f8.jpg,2024-09-28T14:27:29Z,"Nine people have been killed in twin Russian drone strikes on a hospital in Ukraine's north-eastern city of Sumy, Ukrainian officials say.
They say the building was hit on Saturday morning, and was … [+2443 chars]",,BBC News
7,The New Yorker,Could the War in Gaza Cost Kamala Harris the Election?,A co-founder of the Uncommitted National Movement tells the staff writer Andrew Marantz why Muslim voters in Michigan are turning in droves to Jill Stein—and Donald Trump.,https://www.newyorker.com/podcast/the-new-yorker-radio-hour/could-the-war-in-gaza-cost-kamala-harris-the-election,"https://media.newyorker.com/photos/663cd3037d83171cd086b2ee/16:9/w_1280,c_limit/Radio-Hour-Secondary-Segment.png",2024-09-27T18:00:00Z,"Listen and subscribe:Apple | Spotify | Google | Wherever You Listen
Sign up for our daily newsletter to get the best of The New Yorker in your in-box.
In Michigan, many votersparticularly Arab Amer… [+1355 chars]",,The New Yorker
8,Brent D. Griffiths,JD Vance has broken through during the 2024 campaign in all the wrong ways,Poll averages show that JD Vance is the least liked of the four major figures in the 2024 race. Tuesday's VP debate is his best chance to change that.,https://www.businessinsider.com/jd-vance-unpopularity-struggles-polls-vp-debate-walz-trump-harris-2024-9,https://i.insider.com/66f7ed4cf44bdb4cfa37e73f?width=1200&format=jpeg,2024-09-30T09:31:02Z,"Polls show Sen. JD Vance of Ohio is the least liked of the major presidential nominees and their respective running mates.Melissa Sue Gerrits/Getty Images
<ul><li>Sen. JD Vance is one of the least-l… [+5021 chars]",business-insider,Business Insider
9,"Leah Sarnoff, Lalee Ibssa, Soo Rin Kim, Kelsey Walsh",Trump calls for Harris to be 'impeached and prosecuted' at Pennsylvania rally,"With less than 40 days left until the election, Trump continues to escalate his personal attacks against Harris, calling for her to be ""impeached and prosecuted.""",https://abcnews.go.com/Politics/trump-calls-harris-impeached-prosecuted-pennsylvania-rally/story?id=114339363,https://i.abcnewsfe.com/a/a1486e62-a91c-48f0-a5d8-7eadeded4acd/trump-debate-presidential-ap-lv-240910-2_1726026445079_hpMain_16x9.jpg?w=1600,2024-09-30T01:09:07Z,"With less than 40 days left until November's election, former President Donald Trump continues to escalate his personal attacks against Kamala Harris, calling for the vice president to be ""impeached … [+1813 chars]",abc-news,ABC News
10,Matt Young,‘Trump Is a Scab’: Harris Campaign Fumes Over Trump’s Wild Anti-Overtime Rant,Former president Donald Trump openly admitted that he “hated” to pay his workers overtime at the Trump organization and would even replace those who spoke...,https://www.thedailybeast.com/trump-is-a-scab-harris-campaign-fumes-over-trumps-wild-anti-overtime-rant,https://media.zenfs.com/en/thedailybeast.com/4165c91f2edc403e84e5e6dcb59edb55,2024-09-30T00:01:59Z,Former president Donald Trump openly admitted that he hated to pay his workers overtime at the Trump organization and would even replace those who spoke out about itcomments the Harris campaign immed… [+3595 chars],,Daily Beast
11,Max Harrison-Caldwell,A stalled Waymo brought Kamala Harris' motorcade to a halt in SF,"The robotaxi stopped while making a U-turn, interrupting the vice president's route to the Fairmont Hotel late Friday.",https://sfstandard.com/2024/09/28/waymo-halts-kamala-harris-san-francisco-motorcade/,https://content.sfstandard.com/wp-content/uploads/2024/09/screenshot-2024-09-28-at-12-13-51-pm.png?resize=1200%2C630,2024-09-29T16:44:02Z,"A motorcade escorting Vice President Kamala Harris to San Francisco’s Fairmont Hotel was brought to a standstill late Friday by a stalled Waymo.
Video from ABC7 shows the driverless car stopping whi… [+1770 chars]",,Sfstandard.com
12,Majd Al-Waheidi,Q&A: Nevada Sen. Cortez Masto on teaming up with VP Harris as attorney generals,"Morning Edition spoke to Nevada Sen. Catherine Cortez Masto, who worked with VP Harris when the two were state attorneys general, on why that experience is relevant to being Commander in Chief.",https://www.npr.org/2024/09/26/nx-s1-5123701/kamala-harris-nevada-cortez-masto-attorney-general,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3820x2149+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fc2%2F5d%2F227e7d844731b739271ce772c84a%2Fap24235099365318.jpg,2024-09-27T09:00:11Z,"Vice President Kamala Harris frequently talks about her time as a prosecutor and how that experience has prepared her for the White House.
Nevada Sen. Catherine Cortez Masto told Morning Edition why… [+7136 chars]",,NPR
13,COLLEEN LONG,Some Republicans distance themselves from Trump's latest attack on Harris' mental fitness,Republicans on Sunday sought to distance themselves from Donald Trump's latest insults of Democratic nominee Kamala Harris during a rambling weekend rally in...,https://www.yahoo.com/news/republicans-distance-themselves-trumps-attack-155925937.html,https://s.yimg.com/ny/api/res/1.2/tTDO6e0AGKLlp0ejZUG_hQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://media.zenfs.com/en/ap.org/b3a0f178fc82c17dccf34f91e7bd5212,2024-09-29T15:59:25Z,WASHINGTON (AP) Republicans on Sunday sought to distance themselves from Donald Trump's latest insults of Democratic nominee Kamala Harris during a rambling weekend rally in Wisconsin in which he cal… [+2914 chars],,Yahoo Entertainment
