,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,The Verge Staff,The Verge’s guide to the 2024 presidential election,Vice President Kamala Harris is taking on former President Donald Trump. The election will determine the future of everything from electric cars to the entire legal system to to our democracy itself.,https://www.theverge.com/24279527/2024-presidential-election-guide-tech-policy,https://cdn.vox-cdn.com/thumbor/xG8M1zPOXmzE0IyEhJkVRhrpB_Y=/0x0:2040x1360/1200x628/filters:focal(1105x362:1106x363)/cdn.vox-cdn.com/uploads/chorus_asset/file/25693279/247224_Election_Package__Mr.Nelson_design_HUB.jpg,2024-10-29T13:43:57Z,"A presidential campaign is an expression of ideology, often vocalized as a number of promises. Sometimes, those promises are made even when theyre outside the scope of what a president can enact. Wit… [+1159 chars]",the-verge,The Verge
1,Makena Kelly,A Running List of the Tech CEOs Donald Trump Claims Are Calling Him to Suck Up,"Some of the most powerful people in Silicon Valley appear to be quietly sitting out the presidential election cycle. But Trump says that in private, it's a different story.",https://www.wired.com/story/tech-ceos-trump-claims-are-courting-him/,"https://media.wired.com/photos/671f9d3d2c0fb6f2c687a28a/191:100/w_1280,c_limit/GettyImages-2176994436.jpg",2024-10-28T18:08:54Z,"With only a few days left until the US presidential election, Donald Trump is claiming that some of Silicon Valleys most powerful billionaires and tech leaders are seeking him out.
Many of these lea… [+2154 chars]",wired,Wired
2,Domenico Montanaro,These swing-state counties are key to understanding the presidential race,These counties will help tell the story of how either former President Donald Trump or Vice President Kamala Harris will become the next president.,https://www.npr.org/2024/10/27/nx-s1-5164527/swing-state-counties-election-harris-trump,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1024x576+0+54/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F28%2F56%2Fb0508a414724af356b6c5d5f6445%2Fgettyimages-2177121041.jpg,2024-10-27T09:00:00Z,"In the 2020 presidential election, the country was stretched ideologically and demographically. From 2012 to 2016, more than 200 counties flipped from former President Barack Obama to former Presiden… [+14410 chars]",,NPR
3,Emily Witt,The Obamas Campaign for Kamala Harris,"Emily Witt on the Kamala Harris campaign’s efforts to bolster support among young Black men, with the help of Barack and Michelle Obama, ahead of the 2024 Presidential election",https://www.newyorker.com/news/the-lede/the-obamas-campaign-for-kamala-harris,"https://media.newyorker.com/photos/671e735ecb6fa7c524f127c6/16:9/w_1280,c_limit/Kamala_Obama_Primary.jpg",2024-10-27T21:22:31Z,"Obama devoted time in his speech to Harris, too, with whom he has some things in common (this convention has always been pretty good to kids with funny names who believe in a country where anything i… [+7652 chars]",,The New Yorker
4,Katie Francis,Lindsey Graham Squirms at Montage of Trump Labeling Harris a ‘Fascist’,Lindsey Graham seemed to have his back against the wall after being shown a montage of Donald Trump labeling Kamala Harris a “fascist.” The South Carolina...,https://www.thedailybeast.com/sen-lindsey-graham-squirms-when-played-montage-of-trump-labeling-kamala-harris-a-fascist/,https://media.zenfs.com/en/thedailybeast.com/26db237f5da085cfab02407c8dcf6e90,2024-10-27T22:44:24Z,"Lindsey Graham seemed to have his back against the wall after being shown a montage of Donald Trump labeling Kamala Harris a fascist.
The South Carolina Senator ripped accusations of Trump being fas… [+2172 chars]",,Daily Beast
5,Jennifer Epstein and Josh Wingrove,"Harris Plans ‘Freedom’ Rally, Trump Courts Men in Final Push",(Bloomberg) -- The campaign for the US presidency enters its final week with Vice President Kamala Harris and former President Donald Trump locked in a...,https://www.yahoo.com/news/harris-plans-freedom-rally-trump-124452139.html,https://s.yimg.com/ny/api/res/1.2/pPKzIZBGZSQ93Opup7js9w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_politics_602/4a903cd7f7780a75276d4dafc3f0bf35,2024-10-28T12:44:52Z,"(Bloomberg) -- The campaign for the US presidency enters its final week with Vice President Kamala Harris and former President Donald Trump locked in a stubbornly close race, making starkly different… [+5451 chars]",,Yahoo Entertainment
6,"Erica Star Domena,Selima Hussain",Elon Musk boosts Trump at rally underscored by racist rhetoric as Beyoncé rallies behind Harris,"Elon Musk voiced his support for Donald Trump at a New York City rally, but the event was underscored by crude commentary from other speakers.",https://www.businessinsider.com/elon-musk-tony-hinchcliffe-boost-trump-rally-beyonce-harris-2024-10,https://i.insider.com/671ff0a1a0a0cc14f2247387?width=1200&format=jpeg,2024-10-28T20:31:58Z,"Elon Musk voiced his support for Donald Trump at a New York City campaign rally Sunday, but the event was underscored by crude and racist commentary from other speakers. Meanwhile, celebrities like B… [+132 chars]",business-insider,Business Insider
7,"Kelsey Walsh, Lalee Ibssa, Soo Rin Kim",Melania Trump defends her husband: 'He is not Hitler',"Donald Trump has falsely claimed that Kamala Harris called him ""Hitler.""",https://abcnews.go.com/Politics/melania-trump-defends-husband-hitler/story?id=115257844,https://i.abcnewsfe.com/a/1d4de0a3-8ffd-4088-ba2c-fe504b32074b/donald-trump-12-ap-gmh-241027_1730077011082_hpMain_16x9.jpg?w=1600,2024-10-29T15:00:21Z,"After making a surprise appearance at her husband's Madison Square Garden rally on Sunday, Melania Trump spoke out on ""Fox and Friends"" on Tuesday, fiercely defending him against reported comments th… [+3398 chars]",abc-news,ABC News
8,Alexandra Hutzler,Michelle Obama returns to political spotlight for final sprint of 2024 campaign,"Michelle Obama, who has made clear her dislike of partisan politics, is putting her considerable star power behind Kamala Harris and against Donald Trump.",https://abcnews.go.com/Politics/michelle-obama-returns-political-spotlight-final-sprint-2024/story?id=115233546,https://i.abcnewsfe.com/a/85f39dea-a52f-4d06-9014-5ba5a37720f6/kamala-harris-13-gty-gmh-241028_1730127452471_hpMain_16x9.jpg?w=1600,2024-10-28T20:54:21Z,"Michelle Obama is bringing back her political star power to buoy support for Vice President Kamala Harris in the final sprint of the 2024 election.
In her first campaign appearance with Harris, the … [+3922 chars]",abc-news,ABC News
9,Julia Cherner,Mark Cuban says Trump ‘absolutely’ has ‘fascist tendencies’,"“I do believe Donald Trump poses a threat,” the billionaire entrepreneur backing Kamala Harris told ABC “This Week” co-anchor Jonathan Karl.",https://abcnews.go.com/Politics/mark-cuban-trump-absolutely-fascist-tendencies/story?id=115181894,https://i.abcnewsfe.com/a/db9dac50-df62-49c9-8021-2a266ced7885/mark-cuban-02-abc-jt-241026_1729955488153_hpMain_16x9.jpg?w=1600,2024-10-27T23:07:59Z,"Billionaire entrepreneur and television personality Mark Cuban said former President Donald Trump ""absolutely"" has ""fascist tendencies.""
""Do I think that Donald Trump has fascist tendencies? Absolut… [+3570 chars]",abc-news,ABC News
10,Julia Reinstein,Vice President Harris marks 6 years since Pittsburgh synagogue shooting,"In a statement Sunday, Vice President Kamala Harris commemorated six years since the deadly shooting at Pittsburgh's Tree of Life synagogue.",https://abcnews.go.com/Politics/vice-president-harris-marks-6-years-unspeakable-pittsburgh/story?id=115194924,https://i.abcnewsfe.com/a/391e8f27-c97c-4f86-9098-f7967a533b41/Pittsburgh-synagogue-harris-2-gty-jm-241027_1730044270824_hpMain_16x9.jpg?w=1600,2024-10-27T17:49:46Z,"Vice President Kamala Harris on Sunday commemorated six years since the deadly shooting at Pittsburgh's Tree of Life synagogue.
""This unspeakable act fueled by antisemitic hate was the deadliest att… [+2138 chars]",abc-news,ABC News
11,"Gabriella Abdul-Hakim, Will McDuffie, Fritz Farrow",Harris to deliver 'closing argument' in remarks on DC's Ellipse,"Vice President Kamala Harris is set to make her final case for her bid for the presidency on Washington, D.C.'s Ellipse on Tuesday.",https://abcnews.go.com/Politics/harris-deliver-closing-argument-remarks-dcs-ellipse/story?id=115222481,https://i.abcnewsfe.com/a/f17d8479-317c-4d9e-9a85-157e5f3c52dc/kamala-harris-03-gty-jef-241028_1730136551148_hpMain_16x9.jpg?w=1600,2024-10-29T09:21:41Z,"Vice President Kamala Harris is set to make her final case for her bid for the presidency on Washington, D.C.'s Ellipse on Tuesday where she is expected to give an optimistic and hopeful message that… [+3003 chars]",abc-news,ABC News
12,Robert Greene,Democracy Dies in Broad Daylight,The big surprise of the fall campaign is the failure of two major newspapers to deliver expected endorsements of Kamala Harris.,https://www.theatlantic.com/ideas/archive/2024/10/non-endorsement-washington-post-la-times/680423/,https://cdn.theatlantic.com/thumbor/eIkbrOY0Hj62lVg7HsBpSGEaB20=/0x105:4950x2683/1200x625/media/img/mt/2024/10/h_16/original.jpg,2024-10-28T13:21:52Z,"In this extremely tight presidential race, the big surprise of the fall campaign has turned out to be the failure of two major newspapers to deliver expected endorsements of Kamala Harris and against… [+6786 chars]",,The Atlantic
13,Franco Ordoñez,"Amid a backlash over Puerto Ricans, Trump repeats claims about the border",The Republican nominee's remarks come days after jokes about Puerto Ricans at his New York rally prompted backlash.,https://www.npr.org/2024/10/29/nx-s1-5170150/trump-border-puerto-ricans,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x3375+0+313/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F95%2F45%2Fd80f1f4b426e847b408ad1bb827c%2Fgettyimages-2181624416-2.jpg,2024-10-29T16:07:47Z,"Former President Trump, the Republican nominee for president, stuck to his script of border enforcement, crime and the economy, as he sought to draw a contrast from his Democratic rival, Vice Preside… [+3066 chars]",,NPR
