,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Makena Kelly,A Running List of the Tech CEOs Donald Trump Claims Are Calling Him to Suck Up,"Some of the most powerful people in Silicon Valley appear to be quietly sitting out the presidential election cycle. But Trump says that in private, it's a different story.",https://www.wired.com/story/tech-ceos-trump-claims-are-courting-him/,"https://media.wired.com/photos/671f9d3d2c0fb6f2c687a28a/191:100/w_1280,c_limit/GettyImages-2176994436.jpg",2024-10-28T18:08:54Z,"With only a few days left until the US presidential election, Donald Trump is claiming that some of Silicon Valleys most powerful billionaires and tech leaders are seeking him out.
Many of these lea… [+2154 chars]",wired,Wired
1,Elizabeth Lopatto,The future of crypto regulation comes down to one unpopular man,"As part of his overtures to the crypto industry, Donald Trump has promised to fire embattled SEC chair Gary Gensler on ‘day one.’",https://www.theverge.com/24280387/gary-gensler-sec-chair-presidential-election-2024,https://cdn.vox-cdn.com/thumbor/tbPUbEarve3IQVCN6dBJXVrZR_k=/0x0:2040x1360/1200x628/filters:focal(1146x421:1147x422)/cdn.vox-cdn.com/uploads/chorus_asset/file/25693278/247224_Election_Package__Mr.Nelson_design_Gensler.jpg,2024-10-29T13:00:00Z,"Heres why the embattled SEC chair is a hot-button presidential issue.
ByElizabeth Lopatto, a reporter who writes about tech, money, and human behavior. She joined The Verge in 2014 as science editor… [+13909 chars]",the-verge,The Verge
2,Andrew J. Hawkins,This election will decide what kind of car you’ll buy,"Trump has promised to roll back Biden’s EV policies on “day one,” while Harris has avoided wading into the bizarre politicization of electric vehicles.",https://www.theverge.com/24279434/presidential-election-trump-biden-harris-ev-2024-electric-vehicle-car,https://cdn.vox-cdn.com/thumbor/5tWXMR03EV5rosVgDROFgGf6i2Q=/0x0:2040x1360/1200x628/filters:focal(1455x544:1456x545)/cdn.vox-cdn.com/uploads/chorus_asset/file/25693277/247224_Election_Package__Mr.Nelson_design_EVs.jpg,2024-10-29T13:30:00Z,"Trump has promised to roll back Bidens EV policies on day one.
ByAndrew J. Hawkins, transportation editor with 10+ years of experience who covers EVs, public transportation, and aviation. His work h… [+8754 chars]",the-verge,The Verge
3,The Verge Staff,The Verge’s guide to the 2024 presidential election,Vice President Kamala Harris is taking on former President Donald Trump. The election will determine the future of everything from electric cars to the entire legal system to to our democracy itself.,https://www.theverge.com/24279527/2024-presidential-election-guide-tech-policy,https://cdn.vox-cdn.com/thumbor/xG8M1zPOXmzE0IyEhJkVRhrpB_Y=/0x0:2040x1360/1200x628/filters:focal(1105x362:1106x363)/cdn.vox-cdn.com/uploads/chorus_asset/file/25693279/247224_Election_Package__Mr.Nelson_design_HUB.jpg,2024-10-29T13:43:57Z,"A presidential campaign is an expression of ideology, often vocalized as a number of promises. Sometimes, those promises are made even when theyre outside the scope of what a president can enact. Wit… [+1159 chars]",the-verge,The Verge
4,Tess Owen,Steve Bannon Is Out of Prison and Spreading Lies Online,"Within hours of being freed from a low-security prison where he’d been serving time on contempt charges, the MAGA architect was rallying his troops on a Rumble stream.",https://www.wired.com/story/steve-bannon-is-out-of-prison-and-spreading-lies-online/,"https://media.wired.com/photos/6720f83d6fc60e8791ee9510/191:100/w_1280,c_limit/GettyImages-1471048441%20(1).jpg",2024-10-29T20:57:19Z,"Steve Bannon got out of federal prison at around 3 am Tuesday. Seven hours later, he was live on his War Room podcast to flood the zone with shit exactly one week before the presidential election.
F… [+2778 chars]",wired,Wired
5,Lucas Ropek,Google Searches for Comedian Who Told Racist Jokes at Trump Rally Surpass Taylor Swift,Who is Tony Hinchcliffe?,https://gizmodo.com/google-searches-for-comedian-who-told-racist-jokes-at-trump-rally-surpass-taylor-swift-2000517557,https://gizmodo.com/app/uploads/2024/10/Comedian-Tony-Hinchcliffe-performs-at-Trump-rally-at-Madison-Square-Garden.jpg,2024-10-28T22:45:33Z,"Not long after comedian Tony Hinchcliffe appeared at Donald Trump’s massive Madison Square Garden rally this weekend and called Puerto Rico an “island of floating garbage,” the internet came alive wi… [+5350 chars]",,Gizmodo.com
6,Matthew Gault,Musk Screams at Trump Rally as Philly DA Sues to Stop $1 Million Voter Giveaway,The lawsuit is the first official legal action against the billionaire's election lottery scheme.,https://gizmodo.com/musk-screams-at-trump-rally-as-philly-da-sues-to-stop-1-million-voter-giveaway-2000517357,https://gizmodo.com/app/uploads/2024/10/MuskScream.jpg,2024-10-28T15:55:28Z,"On Sunday night, billionaire Elon Musk did two pathetic little Dean Screams for a crowd of MAGA voters in Madison Square Garden. On Monday morning, Philadelphia District Attorney Larry Krasner filed … [+2631 chars]",,Gizmodo.com
7,"Tess Owen, Dell Cameron",US Intel Says Insider Threats Are 'Likely' During the Election,A government memo viewed by WIRED states that insider threats “could derail or jeopardize a fair and transparent election process.”,https://www.wired.com/story/insider-threats-election/,"https://media.wired.com/photos/671bd7741b81965dc9ebb535/191:100/w_1280,c_limit/election_threats_pol.jpg",2024-10-28T13:00:00Z,"Insider threats will likely be an issue that election centers across the US will face in the coming weeks, according to a US intelligence memo viewed by WIRED. These threats, the memo warns, could de… [+2354 chars]",wired,Wired
8,Domenico Montanaro,These swing-state counties are key to understanding the presidential race,These counties will help tell the story of how either former President Donald Trump or Vice President Kamala Harris will become the next president.,https://www.npr.org/2024/10/27/nx-s1-5164527/swing-state-counties-election-harris-trump,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1024x576+0+54/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F28%2F56%2Fb0508a414724af356b6c5d5f6445%2Fgettyimages-2177121041.jpg,2024-10-27T09:00:00Z,"In the 2020 presidential election, the country was stretched ideologically and demographically. From 2012 to 2016, more than 200 counties flipped from former President Barack Obama to former Presiden… [+14410 chars]",,NPR
9,Asma Khalid,Harris is reaching out to Republicans. Some progressives feel left behind,Vice President Harris has been campaigning with Republicans disaffected with former President Donald Trump. But some progressive voters aren’t loving the strategy.,https://www.npr.org/2024/10/27/nx-s1-5085735/kamala-harris-progressives,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4032x2268+0+78/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fb6%2Fb0%2Fc41364a649f08436ac9e59f58f2f%2Fimg-9180.jpg,2024-10-27T10:00:00Z,ATLANTA Brian Ramirez is voting for Vice President Harris even canvassing for her. But hes not loving what shes been saying as she tries to persuade moderate Republicans and independent voters in the… [+5528 chars],,NPR
