,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Zach Dorfman,The Untold Story of Trump's Failed Attempt to Overthrow Venezuela's President,"A successful CIA hack of Venezuela's military payroll system, insider fights for spy agency resources, and messy opposition politics: A WIRED investigation reveals a secret Trump-era attempt to oust autocratic ruler Nicolás Maduro.",https://www.wired.com/story/trump-cia-venezuela-maduro-regime-change-plot/,"https://media.wired.com/photos/67210d7362bc507a4f04fe8b/191:100/w_1280,c_limit/OPENING_FINAL_01_web.jpg",2024-10-31T09:30:00Z,"On September 26, 2018, Venezuelan president Nicolás Maduro approached the lectern at the United Nations General Assembly in New York City. Hulking and mustachioed, wearing a black suit and a bright r… [+2585 chars]",wired,Wired
1,James Fallows,"After the Election, California (Yes, That Hellscape) Will Keep Moving the World Forward No Matter What","The state has been written off as a woke wasteland. But it's still inventing the future on a bunch of frontiers nobody's talking about. Even if Trump wins, it will remain a golden, global example.",https://www.wired.com/story/california-will-keep-moving-the-world-forward/,"https://media.wired.com/photos/67210b73fdc82da59d1ddbb8/191:100/w_1280,c_limit/CAF_Lindsey_Price_FINAL.jpg",2024-10-31T10:00:00Z,"Just take the area of gasoline-powered transportation. After World War II, when American car culture was famously getting minted in Southern California, the state used a gas tax hike to build out one… [+5644 chars]",wired,Wired
2,Vittoria Elliott,Elon Musk's America PAC Has Created an Election Denial Cesspool on X,"The group has nearly 50,000 members, many enthusiastically sharing debunked claims about voting fraud. “It's just an election denier jamboree,” says one expert.",https://www.wired.com/story/elon-musk-america-pac-election-denial-community-x/,"https://media.wired.com/photos/6723d28fe9642f2551fc93df/191:100/w_1280,c_limit/musk-michigan-pol-1757147063.jpg",2024-10-31T19:37:10Z,"For months, billionaire and X owner Elon Musk has used his platform to share election conspiracy theories that could undermine faith in the outcome of the 2024 election. Last week, the political acti… [+2472 chars]",wired,Wired
3,David Gilbert,A Russian Disinfo Campaign Is Using Comment Sections to Seed Pro-Trump Conspiracy Theories,A disinformation campaign is using the unmoderated spaces of right-wing news website comment sections to push their narratives.,https://www.wired.com/story/russia-disinfo-campaign-right-wing-comment-sections-pro-trump/,"https://media.wired.com/photos/6723b444b2d0f9dc9309d32d/191:100/w_1280,c_limit/disinfo-russia-dailymail-pol.jpg",2024-11-01T12:00:00Z,"Video has come out from Bucks County, Pennsylvania showing a ballot counter destroying ballots for Donald Trump and keeping Kamala Harris's ballots for counting, an account called Dan from Ohio wrote… [+2408 chars]",wired,Wired
4,WIRED Staff,Will Your Elected Officials in Congress Accept the Results of the Election?,We’ve asked every member of Congress whether they’ll accept the results as called by the Associated Press. Use our tool to see how your representatives answer.,https://www.wired.com/story/congress-accept-election-results/,"https://media.wired.com/photos/67226f2226693bf18984e220/191:100/w_1280,c_limit/Congressman.jpg",2024-10-31T10:00:00Z,"We are in the final days of a momentous presidential election between Kamala Harris and Donald Trump. Do you know whether your elected officials will accept the outcome?
WIRED reached out to every s… [+3156 chars]",wired,Wired
5,Jake Lahut,Elon Musk’s America PAC Hit With Class Action Lawsuit,"Canvassers for California representative Michelle Steel are suing the congresswoman's campaign, America PAC, and others, alleging that they were promised hourly wages, then told pay would depend on how many doors they knocked.",https://www.wired.com/story/elon-musk-america-pac-class-action-lawsuit/,"https://media.wired.com/photos/67254293a3ba4283003d2bc9/191:100/w_1280,c_limit/musk-pac-abuse-pol-2178881341.jpg",2024-11-01T22:01:08Z,"Elon Musks America PAC and several other defendants, including the reelection campaign for Representative Michelle Steel, a Republican from California, are accused of violating California labor law i… [+3309 chars]",wired,Wired
6,Makena Kelly,"Ahead of the Election, Social Media Platforms Have Given Up","If you thought 2020 was bad, decisions from Big Tech and the US government have led to an internet that’s even worse off.",https://www.wired.com/story/tech-companies-abdicated-responsibility-for-their-platforms/,"https://media.wired.com/photos/67216e155c751da78340bad9/191:100/w_1280,c_limit/Politics_newsletter_tech_platforms_election.jpg",2024-10-31T11:00:00Z,"Our social media platforms and government have had four years to get this right. Instead, theyve thrown up their hands.
In the days following January 6, Meta, Twitter, YouTube, and Twitch suspended … [+2314 chars]",wired,Wired
7,Tess Owen,Election Violence Is Already Here,"With bombs, brawls, and stolen mail-in ballots already in play, the 2024 election is shaping up to be exceptionally chaotic. WIRED is tracking these incidents as they unfold.",https://www.wired.com/story/election-violence-is-already-here/,"https://media.wired.com/photos/67214e475c751da78340bad5/191:100/w_1280,c_limit/vote-violence-interference-pol.jpg",2024-11-01T16:30:14Z,"A man in a white van circled an early voting site in Loxahatchee, Florida, and shouted antisemitic and racist slurs at a group of people campaigning outside. A man who went to vote in Orangeburg, Sou… [+6546 chars]",wired,Wired
8,Matt Novak,Scammy Ads on Facebook and Instagram Viewed 900 Million Times: Report,What a garbage heap.,https://gizmodo.com/scammy-ads-on-facebook-and-instagram-viewed-900-million-times-report-2000518931,https://gizmodo.com/app/uploads/2024/10/mark-zuckberberg-getty.jpg,2024-10-31T18:00:29Z,"Facebook, an internet machine that turns lies into money, is absolutely swimming in scammers who buy ads with political messages, according to a new report from ProPublica. The fact that Meta’s platf… [+4950 chars]",,Gizmodo.com
9,Luke Garrett,Trump and Harris crisscross campaign trail days out from Election Day,"Trump rallies in Pennsylvania, while Harris attends Black church service in Michigan",https://www.npr.org/2024/11/03/g-s1-31905/trump-harris-campaign,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4408x2480+0+232/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F3d%2F15%2F2d4dd9f14fc193e375b3cdf9d113%2Fap24308588989267.jpg,2024-11-03T17:14:59Z,"Americans have two days left to pick their new leader in a neck-and-neck presidential election likely decided by tens of thousands of votes in a handful of swing states.
Former President Donald Trum… [+3292 chars]",,NPR
