,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Matthew Gault,Peanut the Squirrel Becomes Right-Wing Martyr in Final Election Push From the Extremely Online,"With hours to go before America votes, Trump’s surrogates spent their time building up a myth around a squirrel.",https://gizmodo.com/peanut-the-squirrel-and-the-rights-very-weird-extremely-online-weekend-before-the-election-2000520131,https://gizmodo.com/app/uploads/2024/11/PNutMeme.jpg,2024-11-04T16:15:03Z,"Last week a squirrel died in New York. Over the weekend, the squirrel became a symbol and martyr on the right. As people line up to vote, ballots are cast, and undecided voters make their final decis… [+5048 chars]",,Gizmodo.com
1,David Gilbert,Arizona's Kari Lake Is Already Claiming Election Fraud,"The night before the election, Arizona Senate candidate Kari Lake, a former TV anchor-turned-election truther, thanked her supporters for voting early—something she has long railed against.",https://www.wired.com/story/kari-lake-campaign-claims-election-fraud/,"https://media.wired.com/photos/672a250ef314a4484ad6cf6f/191:100/w_1280,c_limit/JLTAZ_34.jpg",2024-11-05T15:27:00Z,"This year, Lake has also pushed conspiracy theories about mail-in ballots and early voting, demanding a single day of in-person voting. Her support for early and mail-in voting on the eve of the elec… [+1814 chars]",wired,Wired
2,Erin Snodgrass,"Joe Rogan endorsed Donald Trump, saying Elon Musk made a 'compelling case' for the former president","Joe Rogan, who interviewed Donald Trump on his podcast, has been critical of Trump. But he said Elon Musk made a ""compelling case"" for Trump.",https://www.businessinsider.com/joe-rogan-endorses-donald-trump-on-eve-of-election-2024-11,https://i.insider.com/67297fdd192f52589856093b?width=1200&format=jpeg,2024-11-05T02:52:54Z,"Joe Rogan endorsed Donald Trump ahead of the election.Getty Images
<ul><li>Podcaster Joe Rogan endorsed Donald Trump in a Monday evening post.</li><li>Rogan cited Elon Musk, saying the billionaire m… [+2133 chars]",business-insider,Business Insider
3,Matt Novak,"Elon Musk Can Keep Handing Out $1 Million to Voters, Pennsylvania Court Says",The case is a scary peek at the future of buying votes.,https://gizmodo.com/elon-musk-can-keep-handing-out-1-million-to-voters-pennsylvania-court-says-2000520492,https://gizmodo.com/app/uploads/2024/11/elon-musk-win.jpg,2024-11-04T22:55:00Z,"Elon Musk is allowed to continue giving away $1 million each day in a voter “sweepstakes” that’s not really a sweepstakes, according to a ruling from a Pennsylvania judge on Monday. The case was brou… [+2941 chars]",,Gizmodo.com
4,Katie Drummond,It’s Election Week. Brace Yourselves,The United States will choose between two drastically different futures in the coming days. Here’s what you can expect from WIRED.,https://www.wired.com/story/election-week-brace-yourselves/,"https://media.wired.com/photos/672576b54b6e1a375fd563a2/191:100/w_1280,c_limit/EIC-election-letter-final-pol.jpg",2024-11-04T12:00:00Z,"When WIRED launched a politics vertical in January of this year, our decision wasnt without critics. WIRED is best known, after all, as a technology publication, a place that can help you understand … [+4107 chars]",wired,Wired
5,"Lily Hay Newman, Tess Owen",Russia Is Going All Out on Election Day Interference,Along with other foreign influence operations—including from Iran—Kremlin-backed campaigns to stoke division and fear have gone into overdrive.,https://www.wired.com/story/russia-election-disinformation-2024-election-day/,"https://media.wired.com/photos/672a7169889c531778153f5c/191:100/w_1280,c_limit/russia-election-disinfo-%201152460187.jpg",2024-11-05T21:04:35Z,"As the 2024 US presidential election comes to a close, and with Donald Trump on the ballot once again, Russian actors are spreading disinformation with unprecedented and alarming intensityand US offi… [+3512 chars]",wired,Wired
6,Justine Calma,Apple News will let you watch election results from your lockscreen,"On Election Day in the US, Apple News is rolling out live results to lockscreens.",https://www.theverge.com/2024/11/5/24288777/election-results-apple-news-lock-screen,https://cdn.vox-cdn.com/thumbor/ClkCB_h7ezkPo-bmQ9twzhBOHc4=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25697390/STK071_APPLE_H.jpg,2024-11-05T16:34:12Z,"Image: Cath Virginia / The Verge

 

 For anyone obsessively watching election results in the US, Apple News will bring live updates to iPhone and iPad users’ lockscreens. And if you’ve got a recent… [+950 chars]",the-verge,The Verge
7,Matt Novak,Vape the Vote: Every State Voting on Legal Weed Today,Kamala Harris has promised to legalize marijuana at the federal level.,https://gizmodo.com/vape-the-vote-every-state-voting-on-legal-weed-today-2000520781,https://gizmodo.com/app/uploads/2024/11/key-west-florida-marijuana.jpg,2024-11-05T20:35:17Z,Americans are rushing into voting booths across the country today to raise their hand for either Donald Trump (the fascist piece of shit who wants to do bad things) or Kamala Harris (the moderate Dem… [+8275 chars],,Gizmodo.com
8,Luke Garrett,Trump and Harris crisscross campaign trail days out from Election Day,"Trump rallies in Pennsylvania, while Harris attends Black church service in Michigan",https://www.npr.org/2024/11/03/g-s1-31905/trump-harris-campaign,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4408x2480+0+232/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F3d%2F15%2F2d4dd9f14fc193e375b3cdf9d113%2Fap24308588989267.jpg,2024-11-03T17:14:59Z,"Americans have two days left to pick their new leader in a neck-and-neck presidential election likely decided by tens of thousands of votes in a handful of swing states.
Former President Donald Trum… [+3292 chars]",,NPR
9,John L. Dorman,Final polls show Harris and Trump headed for a photo finish,Final polling shows Kamala Harris and Donald Trump virtually tied a day before the election.,https://www.businessinsider.com/kamala-harris-donald-trump-swing-state-polls-photo-finish-2024-11,https://i.insider.com/6727d4875ec9bfa3d63b6faa?width=1200&format=jpeg,2024-11-04T10:02:01Z,"Getty Images; Jenny Chang-Rodriguez/BI
<ul><li>The final polls of the 2024 presidential election season are out.</li><li>They show that neither Harris nor Trump have broken out in the swing states.<… [+4260 chars]",business-insider,Business Insider
10,"nmusumeci@businessinsider.com (Natalie Musumeci,Laura Italiano)",Trump still has 4 criminal indictments waiting for him — here's what happens if he wins or loses,"Not only is the presidency on the line for Donald Trump in the 2024 election, but so are the four criminal indictments against him.",https://www.businessinsider.com/donald-trump-election-criminal-cases-presidency-2024-11,https://i.insider.com/672a8300192f5258985642be?width=1200&format=jpeg,2024-11-05T22:00:29Z,"Not only is the presidency on the line for Donald Trump in the 2024 election, but so are his four criminal indictments.
Winning would largely free the former president for the foreseeable future fro… [+7399 chars]",business-insider,Business Insider
11,ggoodwin@businessinsider.com (Grace Eliza Goodwin),Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power,"Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.",https://www.businessinsider.com/election-day-executives-speak-trump-harris-starbucks-meta-musk-2024-11,https://i.insider.com/672a54c1192f5258985629c6?width=1200&format=jpeg,2024-11-05T22:01:56Z,"Election Day has finally come, and executives at some of the biggest companies are speaking out with former Starbucks CEO Howard Schultz urging a peaceful transition of power and Elon Musk reiteratin… [+8192 chars]",business-insider,Business Insider
12,mfriel@businessinsider.com (Mikhaila Friel),Election betting odds tighten as polls show Harris has momentum,Kamala Harris' odds jumped overnight following a new poll that showed she held a surprise lead over Donald Trump in Iowa.,https://www.businessinsider.com/election-betting-markets-kamala-harris-gains-donald-trump-2024-11,https://i.insider.com/672787355ec9bfa3d63b6e4d?width=1200&format=jpeg,2024-11-03T16:27:18Z,"Vice President Kamala Harris' betting odds jumped overnight after a new poll showed she held a surprise lead over former President Donald Trump in Iowa a state he won easily in both 2016 and 2020.
A… [+1284 chars]",business-insider,Business Insider
13,Lucas Ropek,All Eyes on RFK Jr. After Probe Begins Into Dolphin’s ‘Butchered’ Corpse,Who left a dolphin's mutilated corpse strewn across a New Jersey beach? The internet has thoughts.,https://gizmodo.com/all-eyes-on-rfk-jr-after-probe-begins-into-dolphins-butchered-corpse-2000520756,https://gizmodo.com/app/uploads/2024/11/Robert-F.-Kennedy-Jr.-speaks-at-a-Trump-rally-in-Georgia.jpg,2024-11-05T22:31:05Z,"A dolphin’s butchered corpse was discovered on a New Jersey beach last week, so, naturally, the internet is now exploding with jokes about flop presidential candidate and MAGA convert Robert F. Kenne… [+3578 chars]",,Gizmodo.com
14,Todd Feathers,Why You Shouldn’t Talk to AI Chatbots About the Election,"Perplexity AI announced a new Election Information Hub, you should probably ignore it.",https://gizmodo.com/why-you-shouldnt-talk-to-ai-chatbots-about-the-election-2000520116,https://gizmodo.com/app/uploads/2024/11/voting-questions-ai.jpg,2024-11-04T17:05:16Z,"When companies launch new generative AI features, it usually takes a little bit of time to find and identify the flaws. Developers often don’t stress test large language models the way they shouldtak… [+3293 chars]",,Gizmodo.com
15,Brittney Melton,"Why these women are secretly voting for Harris. And, how to avoid election misinfo","Trump and Harris are holding their last rallies before Election Day tomorrow. And, meet the conservative women secretly voting for Harris.",https://www.npr.org/2024/11/04/g-s1-31987/up-first-newsletter-kamala-harris-and-donald-trump-swing-state-campaign-conservative-women-vote,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2400x1350+0+0/resize/1400/quality/100/format/png/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Ff5%2F0a%2F31f57fed468885d1ddb24e92eb80%2F2-images-3.png,2024-11-04T13:26:03Z,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+4585 chars]",,NPR
16,Hansi Lo Wang,Thousands of Pennsylvania voters have had their mail ballot applications challenged,"Thousands of last-minute challenges to voters’ mail ballot applications, along with baseless claims by former President Donald Trump, are adding pressure on Pennsylvania county officials.",https://www.npr.org/2024/11/04/nx-s1-5178714/pennsylvania-mail-ballot-voter-challenges-trump,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5472x3078+0+164/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F66%2F52%2F6c92f7844500ad5119aa4a4d0c42%2Fgettyimages-2175014852.jpg,2024-11-04T20:58:56Z,"PHILADELPHIA Thousands of last-minute challenges to voters mail ballot applications, along with baseless claims by former President Donald Trump about an investigation into suspicious voter registrat… [+6587 chars]",,NPR
17,Bradley Saacks,Who Wall Street thinks will win the election,"A survey of professional investors on the platform SumZero, along with other big finance names are expecting a win for former president Donald Trump.",https://www.businessinsider.com/wall-street-election-predictions-professional-investor-survey-2024-11,https://i.insider.com/67251ab99b3250dbbcebbb76?width=1200&format=jpeg,2024-11-04T10:51:02Z,"(Photo by Mario Tama/Getty Images)
<ul><li>A survey of 119 investors found that 53% think former president Donald Trump will defeat Kamala Harris.</li><li>Investors believe fossil fuel and industria… [+2839 chars]",business-insider,Business Insider
18,"Lloyd Lee,John L. Dorman",Kamala Harris' new lead in top Iowa poll could bode well for her in some key swing states,"A new Iowa poll shows Harris ahead of Trump by three points, a major shift in a state that has voted red in the past two presidential elections.",https://www.businessinsider.com/harris-trump-iowa-polling-lead-swing-states-2024-11,https://i.insider.com/6727a4075ec9bfa3d63b6ef1?width=1200&format=jpeg,2024-11-03T17:29:29Z,"A new Des Moines Register/Mediacom poll showed Vice President Kamala Harris with an advantage in GOP-leaning Iowa.ANGELA WEISS/AFP via Getty Images
<ul><li>A new Des Moines Register/Mediacom Iowa po… [+5338 chars]",business-insider,Business Insider
19,Eve Crosbie,Kamala Harris mocks Donald Trump as she joins long list of politicians to cameo on 'Saturday Night Live',"During her cameo, Harris appeared to poke fun at a recent video of Trump struggling to climb into a garbage truck at a campaign event.",https://www.businessinsider.com/kamala-harris-mocks-donald-trump-surprise-saturday-night-live-cameo-2024-11,https://i.insider.com/67277087192f52589855c1d6?width=1200&format=jpeg,2024-11-03T17:19:43Z,"Vice President Kamala Harris joined actor Maya Rudolph on ""Saturday Night Live.""Charly Triballeau/AFP via Getty Images
<ul><li>Kamala Harris appeared on ""Saturday Night Live"" for a cameo ahead of th… [+2923 chars]",business-insider,Business Insider
20,Lily Mae Lazarus,Rattled Trump Rages After Shock Iowa Poll Favors Harris: ‘Trump Hater’,"Last minute polling out of Iowa appears to have rattled Donald Trump, who was initially projected to win the deep-red Hawkeye State. The GOP presidential...",https://www.thedailybeast.com/rattled-donald-trump-rages-after-shock-iowa-poll-favors-kamala-harris-trump-hater/,https://s.yimg.com/ny/api/res/1.2/I2irmrfN6gmSId5ATNImiQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thedailybeast.com/f00dad2c84a864baa12d069116d637bd,2024-11-03T18:09:21Z,"Last minute polling out of Iowa appears to have rattled Donald Trump, who was initially projected to win the deep-red Hawkeye State.
The GOP presidential nominee slammed unfavorable numbers for his … [+2286 chars]",,Daily Beast
21,kcloonan@insider.com (Kelly Cloonan),Bitcoin ETFs see highest daily outflows ever as traders brace for Election Day volatility,Bitcoin ETFs saw record outflows ahead of the election as the market eyes the potential for uncertainty to spark volatility for the crypto.,https://markets.businessinsider.com/news/stocks/bitcoin-etfs-record-outflows-election-volatility-trump-harris-vote-btc-2024-11,https://i.insider.com/672a331e5ec9bfa3d63bc054?width=1200&format=jpeg,2024-11-05T16:15:52Z,"Investors pulled a record amount from bitcoin exchange-traded funds to start the week as they prepared for volatility in the world's largest crypto amid potential election uncertainty. 
Bloomberg da… [+2021 chars]",business-insider,Business Insider
22,Stephen Fowler,Trump and allies have primed supporters to falsely believe he has no chance of losing,"Many of former President Donald Trump’s supporters don’t believe he lost in 2020. Despite a close race again in 2024, Trump and allies still falsely claim the only way he loses is because of cheating.",https://www.npr.org/2024/11/05/nx-s1-5179073/trump-and-allies-have-primed-supporters-to-falsely-believe-he-has-no-chance-of-losing,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2884x1622+0+150/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F36%2Fce%2F5188924e4030b5f6bf042be12e76%2Fgettyimages-2182310612.jpg,2024-11-05T10:00:00Z,Its possible former President Donald Trump wins the election and also quite possible he loses. But many in Trumps orbit keep falsely telling his supporters the only way that happens is because of che… [+4653 chars],,NPR
23,Deepa Shivaram,It's the last day of the 2024 campaign. Here's where Harris and Trump are going,"Vice President Harris ends her day with a concert on the ""Rocky Steps"" in Philadelphia. Former President Trump will wrap up in Grand Rapids, Mich. — where he also closed out his 2016 and 2020 races.",https://www.npr.org/2024/11/04/nx-s1-5177397/2024-election-trump-harris,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x3375+0+162/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F65%2F5f%2Fd770724847ababf61c687dd82127%2Fgettyimages-2182537250.jpg,2024-11-04T12:54:25Z,Election Day is tomorrow. That means one last mad dash by former President Donald Trump and Vice President Harris to try to drum up excitement and motivate supporters to get to the polls in a race th… [+2723 chars],,NPR
24,Rachel Treisman,Trump is hoping to win non-consecutive terms. Only one president has done it,"If reelected, Trump would only be the second president to serve non-consecutive terms after Grover Cleveland in the late 1800s. Here's a look at how that happened — and who else has tried.",https://www.npr.org/2024/11/04/g-s1-32048/grover-cleveland-trump-non-consecutive-terms,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2301x1294+0+368/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F28%2Fed%2F1a7e551c4291924e1b2f3edce21b%2Fgettyimages-803426.jpg,2024-11-04T19:45:24Z,"If Trump wins reelection, he would be the second president in U.S. history to serve non-consecutive terms.
The first was Grover Cleveland, who did two stints in the White House from 1885-1889 and 18… [+3721 chars]",,NPR
25,Domenico Montanaro,10 key demographic groups that could decide the presidential election,"From voters young and older to the potentially very wide gender gap, here's what to watch for as the election results come in.",https://www.npr.org/2024/11/03/nx-s1-5175772/2024-election-voters-demographics-trump-harris,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1024x576+0+54/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fbb%2F20%2Fc8ac4a5244d1a09b77038d11823e%2Fgettyimages-2180057755.jpg,2024-11-03T09:00:00Z,"If the polls are to be believed, this presidential election is expected to be tight. But beneath the closeness of the head-to-head numbers, there have been some important shifts happening in American… [+12504 chars]",,NPR
26,fdemott@insider.com (Filip De Mott),Why JPMorgan says election gridlock will be the best-case scenario for stocks,"An election that results in a divided Congress will help reduce uncertainty and market volatility, JPMorgan says.",https://markets.businessinsider.com/news/stocks/us-election-stock-market-outlook-best-case-scenario-congress-gridlock-2024-11,https://i.insider.com/672a3703192f525898561934?width=1200&format=jpeg,2024-11-05T16:09:04Z,"Regardless of the next president, JPMorgan expects stocks to rise if the US election delivers a divided Congress.
""Under either gridlock scenario, we think equities reprice higher as we clear the un… [+1859 chars]",business-insider,Business Insider
27,"insider@insider.com (John L. Dorman,Kelsey Vlamis)",The 2024 presidential election may come down to swing states' results. Here's where Trump and Harris lead in the polls.,"Election results in the swing states of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin will be critical.",https://www.businessinsider.com/what-are-2024-presidential-election-swing-states-trump-harris-polls-2024-11,https://www.businessinsider.com/public/assets/logos/og-image-logo-social.png?v=2023-11,2024-11-05T22:13:18Z,"Over the past two decades, the road to the White House once dominated by Florida and Ohio has evolved.
While bellwethers like Pennsylvania and Wisconsin remain a critical part of the calculus for De… [+12940 chars]",business-insider,Business Insider
28,Natalie Musumeci,"Inside the litigation election, where lawyers on both sides are duking it out in the courts like never before","While preelection litigation might not feel essential democratic presidential elections, they're becoming a keystone political strategy.",https://www.businessinsider.com/election-litigation-donald-trump-kamala-harris-democrats-republicans-2024-10,https://i.insider.com/6723cd9e01ea6d83dee57ce9?width=1200&format=jpeg,2024-11-04T11:23:01Z,The 2024 presidential election between Vice President Kamala Harris and former President Donald Trump is already beating litigation records.Robert Gauthier/Los Angeles Times via Getty Images; Rebecca… [+7993 chars],business-insider,Business Insider
29,Graeme Demianyk,Trump Closes Out Election Campaign By Threatening Michelle Obama,"At a rally in North Carolina, the Republican nominee asked his supporters a shocking question about the former first lady.",https://www.huffpost.com/entry/trump-michelle-obama-hit-threat_n_6729255ee4b0266a34585ecd,https://media.zenfs.com/en/the_huffington_post_584/2568d954a049a0d4dd0f4b706a7ae7a7,2024-11-04T21:36:11Z,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
D… [+2419 chars]",,HuffPost
30,,CNN reporter details conversations she’s had with exasperated Trump officials,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_69e42741-3a47-4e4e-bc1b-8c3f3cb5d598,,2024-11-04T01:55:15Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
31,"Nik Popli / Charlotte, N.C.",‘We’re Not Single Issue Voters.’ Trump Bets Abortion Isn’t Key to Suburban Women Vote,"Trump is betting on the idea that voters, particularly women, will prioritize issues like crime and economic stability over abortion.",https://time.com/7172095/trump-suburban-women-vote-abortion/,https://api.time.com/wp-content/uploads/2024/11/GettyImages-2182245563.jpg?quality=85&w=1024&h=628&crop=1,2024-11-04T21:52:53Z,"In 2016, Donald Trump campaigned for the presidency on an anti-abortion message, promising to appoint pro-life judges to the Supreme Court. In 2022, three of his nominees fulfilled that promise, voti… [+6992 chars]",time,Time
32,Domenico Montanaro,A wild election is coming to a close -- and no one is sure how it will end,"From candidate swaps to assassination attempts, the final months of the campaign has been a whirlwind. Here's why the outcome is so consequential.",https://www.npr.org/2024/11/04/g-s1-32206/2024-election-overview,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3600x2025+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F6e%2F5d%2F5ff126d5423e9f6e628909215ad5%2Fdiptych-27.jpg,2024-11-05T10:00:00Z,"How much could possibly happen in such a short period of time?
The month between the first presidential debate and the Democratic National Convention was arguably the most jaw-dropping in modern U.S… [+10584 chars]",,NPR
33,ktan@businessinsider.com (Kwan Wei Kevin Tan),"Judith Kent, wife of JPMorgan CEO Jamie Dimon, went door to door in Michigan canvassing voters for Kamala Harris","Kent's husband, Jamie Dimon, hasn't publicly endorsed either presidential candidate this election.",https://www.businessinsider.com/judith-dimon-door-to-door-michigan-canvassing-votes-kamala-harris-2024-11,https://i.insider.com/6728315888cea3ba1c1e00b6?width=1200&format=jpeg,2024-11-04T06:19:53Z,"Judith Kent, the wife of JPMorgan CEO Jamie Dimon, was out in Michigan canvassing voters for Vice President and Democratic presidential candidate Kamala Harris on Sunday.
Kent, who has been married … [+2752 chars]",business-insider,Business Insider
34,"JILL COLVIN, DARLENE SUPERVILLE, BILL BARROW and JONATHAN J. COOPER",Trump talks about reporters being shot and says he shouldn't have left White House after 2020 loss,"Donald Trump gave a profane and conspiracy-laden speech two days before the presidential election, talking about reporters being shot and suggesting he...",https://www.yahoo.com/news/harris-goes-church-while-trump-184546303.html,https://s.yimg.com/ny/api/res/1.2/iGrL3lO1Z_UvAJRLtnfQxA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap.org/d443d8ae02e2f9392a99210f0b0d07af,2024-11-03T18:45:46Z,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
L… [+6616 chars]",,Yahoo Entertainment
35,Liam Archacki,New York Times Editorial Board Rips Apart Donald Trump in Single Paragraph,"The editorial board of The New York Times just eviscerated Donald Trump in a single paragraph. The piece, published on Saturday, was only the Times’ latest...",https://www.thedailybeast.com/new-york-times-editorial-board-rips-apart-donald-trump-in-single-paragraph/,https://s.yimg.com/ny/api/res/1.2/Aqzu.bJRpUTfGnT_60gMFA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thedailybeast.com/4524f476f4a1cc1d1c43e0a5d8aac418,2024-11-03T00:10:47Z,"The editorial board of The New York Times just eviscerated Donald Trump in a single paragraph.
The piece, published on Saturday, was only the Times latest attack on the former president during the r… [+2728 chars]",,Daily Beast
36,Marina Koren,Elon Musk Is Betting Mars on Trump,Musk wants to give Trump the presidency. Trump wants to give Musk the universe.,https://www.theatlantic.com/science/archive/2024/11/musk-trump-mars-spacex/680529/,https://cdn.theatlantic.com/thumbor/V4Bp96r_Dh9mna8P7Ok7AKu-jvo=/0x61:2876x1559/1200x625/media/img/mt/2024/11/musk_mars_trump3/original.jpg,2024-11-05T17:07:56Z,"If NASA’s current schedule sticks, the next American president will oversee the first moon landing since the Apollo era and preside over the agency’s plans for sending astronauts deeper into the sola… [+7573 chars]",,The Atlantic
37,ABC News,"WATCH: Trump, Harris prepare for election night",ABC News contributor Cristina Tzintzún Ramirez and former RNC staff member Cassie Smedile talk about the candidates’ campaign strategies.,https://abcnews.go.com/Politics/video/trump-harris-prepare-election-night-115531923,https://i.abcnewsfe.com/a/6c5bbcf4-a1d6-4ca5-afb3-3a2e276bc568/241105_abcnl_3p_smedile_hpMain_16x9.jpg?w=992,2024-11-05T22:50:13Z,"<ul><li>2024 Election: Kentucky and Vermont projections
</li><li>Texas voters weigh immigration and economy as top issues
</li><li>Exit polls 2024: Fears for American democracy, economic discontent… [+4138 chars]",abc-news,ABC News
