,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Katie Francis,JD Vance’s Latest Trump Line Left Jake Tapper Laughing During Brutal CNN Interview,Jake Tapper couldn’t hold back his laughter after Republican vice presidential candidate JD Vance revealed a new theory about why several big-name...,https://www.thedailybeast.com/jd-vances-latest-trump-line-left-jake-tapper-laughing-during-brutal-cnn-interview/,https://media.zenfs.com/en/thedailybeast.com/3cd28bae59aba17d625296fa28616692,2024-10-27T16:17:22Z,"Jake Tapper laughs in JD Vance's face on CNN's State of the Union With Jake Tapper and Dana Bash.
Jake Tapper couldnt hold back his laughter after Republican vice presidential candidate JD Vance rev… [+1505 chars]",,Daily Beast
1,Chad de Guzman,Harris Campaign Highlights J.D. Vance’s Ties to Commentator CNN Pulled for On-Air ‘Racism’,"Ryan Girdusky, a political consultant with ties to J.D. Vance, was banned by CNN after likening a pro-Palestinian fellow panelist to a terrorist.",https://time.com/7122829/ryan-girdusky-mehdi-hasan-cnn-panel-beeper-racism-jd-vance/,https://api.time.com/wp-content/uploads/2024/10/jd-vance.jpg?quality=85&w=1024&h=628&crop=1,2024-10-29T08:00:00Z,"The October Surprise is an advent calendar of racism, Ben Collins, CEO of satire news site The Onion, posted on X late Monday night. With just a week remaining in the U.S. presidential race, Republic… [+3923 chars]",time,Time
2,Jess Zimmerman,There’s a Theory That All Monsters Are Gay. So What Does That Make J.D. Vance?,One unexpected corner of culture can explain a lot about the election.,https://slate.com/news-and-politics/2024/10/trump-harris-election-halloween-vance-hitler-abortion.html,https://compote.slate.com/images/9f83b53e-0a30-4d79-add6-2a24090f4d40.jpeg?crop=2250%2C1500%2Cx0%2Cy0&width=1560,2024-10-28T09:45:00Z,"I am delighted to inform you that all monsters are gay.
Zombies are gay. Werewolves are gay. Godzilla is gay. Vampires are obviously gay. Mothman is gay, as are all other cryptids. Frankenstein is g… [+8589 chars]",,Slate Magazine
3,Julia Pugachevsky,The costs of raising kids without grandparental care,"Childcare costs up to $15,000 per year for one child in the US. Parents without family help are forced to pay, change careers, and never get a break.",https://www.businessinsider.com/childcare-costs-without-grandparents-help-millennial-parents-boomers-2024-10,https://i.insider.com/6712ad46a0a0cc14f2225442?width=1200&format=jpeg,2024-10-27T07:00:02Z,"iStock; Rebecca Zisser/BI
May Udy, 32, is ""on the cusp"" of affording part-time childcare. She works full-time at her remote sales job, and her husband, Jackson, has a steady stream of work as a cont… [+7413 chars]",business-insider,Business Insider
4,"Alexandra Hutzler, Ivan Pereira, Meredith Deliso, Tal Axelrod, Emily Chang",2024 election updates: Trump claims he didn't hear comedian's racist comment at rally,Trump is under fire for the vulgar and racist comments supporters made at his Sunday night rally at New York's Madison Square Garden.,https://abcnews.go.com/Politics/live-updates/2024-election-updates-harris-make-closing-argument-amid/?id=115252538,https://i.abcnewsfe.com/a/2bb852ad-fa7f-41c7-b8a5-1eeef234b527/trump-georgia-rally-rt-lv-241028_1730158199479_hpMain_16x9.jpg?w=1600,2024-10-29T13:13:09Z,"Trump is set to deliver remarks to reporters at 10 a.m. ET in Florida before heading to Pennsylvania -- a swing state with a significant Puerto Rican population.
Pennsylvania Gov. Josh Shapiro, a De… [+855 chars]",abc-news,ABC News
5,Franco Ordoñez,"Amid a backlash over Puerto Ricans, Trump repeats claims about the border",The Republican nominee's remarks come days after jokes about Puerto Ricans at his New York rally prompted backlash.,https://www.npr.org/2024/10/29/nx-s1-5170150/trump-border-puerto-ricans,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x3375+0+313/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F95%2F45%2Fd80f1f4b426e847b408ad1bb827c%2Fgettyimages-2181624416-2.jpg,2024-10-29T16:07:47Z,"Former President Trump, the Republican nominee for president, stuck to his script of border enforcement, crime and the economy, as he sought to draw a contrast from his Democratic rival, Vice Preside… [+3066 chars]",,NPR
6,Brandon Morgan,"2025 Is A Big Year For Magic: The Gathering Crossovers With Final Fantasy, Spider-Man, And Spongebob On The Way","Over the years, Wizards of the Coast has worked tirelessly to expand its Universes Beyond releases, with crossovers including Stranger Things, Hatsune Miku, and Warhammer 40,000, to name but a few. In 2025, they’re expanding further with Final Fantasy, featur…",https://kotaku.com/magic-the-gathering-final-fantasy-spiderman-crossovers-1851683037,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/3ad769247c5075fc84cb7aa65ae7bd80.jpg",2024-10-28T17:55:00Z,"Over the years, Wizards of the Coast has worked tirelessly to expand its Universes Beyond releases, with crossovers including Stranger Things, Hatsune Miku, and Warhammer 40,000, to name but a few. I… [+2815 chars]",,Kotaku
7,,JD Vance questions reaction to racist Puerto Rico joke at Trump rally,Republican Vice Presidential Candidate JD Vance suggested that people should ‘take a chill pill’.,https://www.aljazeera.com/program/newsfeed/2024/10/29/jd-vance-questions-reaction-to-racist-puerto-rico-joke-at-trump-rally,https://www.aljazeera.com/wp-content/uploads/2024/10/WIDE-CLEAN-1730193606.jpg?resize=1920%2C1080&quality=80,2024-10-29T09:21:43Z,"NewsFeed
Republican Vice Presidential Candidate JD Vance suggested that people should take a chill pill after the angry reaction to a racist joke about Puerto Rico told at Donald Trumps showpiece el… [+24 chars]",al-jazeera-english,Al Jazeera English
8,Jessica Lyons,Feds investigate China's Salt Typhoon amid campaign phone hacks,"'They're taunting us,' investigator says and it looks like it's working
The feds are investigating Chinese government-linked cyberspies breaking into the infrastructure of US telecom companies, as reports suggest Salt Typhoon - the same crew believed to be be…",https://www.theregister.com/2024/10/28/feds_investigate_chinas_salt_typhoon/,https://regmedia.co.uk/2024/10/28/cellhack.jpg,2024-10-28T20:00:08Z,"The feds are investigating Chinese government-linked cyberspies breaking into the infrastructure of US telecom companies, as reports suggest Salt Typhoon - the same crew believed to be behind those h… [+3400 chars]",,Theregister.com
9,Joshua Nelken-Zitser,"Republicans are mobilizing expat votes for Trump in Israel, hoping to tip the scale in battleground states",Republicans in Israel are targeting the country's American expat community—the world's fourth-largest—hoping it tips the scale in a close election.,https://www.businessinsider.com/american-republicans-in-israel-mobilizing-expat-vote-for-trump-2024-10,https://i.insider.com/671ba56da0a0cc14f223e232?width=1200&format=jpeg,2024-10-29T08:47:02Z,"The Republican Overseas in Israel has been working to get American voters in Israel to cast their ballots for former President Donald Trump.CHANDAN KHANNA/AFP via Getty Images
<ul><li>Republicans in… [+6557 chars]",business-insider,Business Insider
