,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Lucas Ropek,All Eyes on RFK Jr. After Probe Begins Into Dolphin’s ‘Butchered’ Corpse,Who left a dolphin's mutilated corpse strewn across a New Jersey beach? The internet has thoughts.,https://gizmodo.com/all-eyes-on-rfk-jr-after-probe-begins-into-dolphins-butchered-corpse-2000520756,https://gizmodo.com/app/uploads/2024/11/Robert-F.-Kennedy-Jr.-speaks-at-a-Trump-rally-in-Georgia.jpg,2024-11-05T22:31:05Z,"A dolphin’s butchered corpse was discovered on a New Jersey beach last week, so, naturally, the internet is now exploding with jokes about flop presidential candidate and MAGA convert Robert F. Kenne… [+3578 chars]",,Gizmodo.com
1,"Hannah Demissie, Julian Kim, Geoffrey Skelley",Trump campaign looks to Vance to help them over the finish line in Pennsylvania,"After being named former President Donald Trump's running mate, it was clear that one of Sen. JD Vance's primary roles was to help win Pennsylvania.",https://abcnews.go.com/Politics/trump-campaign-vance-finish-line-pennsylvania/story?id=115470287,https://i.abcnewsfe.com/a/4eda00c4-32c1-435a-aebd-bd044ad11651/jd-vance-pa-gty-thg-241104_1730740860957_hpMain_16x9.jpg?w=1600,2024-11-04T20:36:43Z,"From the moment he arrived in Milwaukee, Wisconsin, after being named former President Donald Trump's running mate, it was clear that one of Sen. JD Vance's primary roles was to help deliver battlegr… [+4370 chars]",abc-news,ABC News
2,ABC News,WATCH: JD Vance will still ‘love you’ if you don’t vote for him,Former President Donald Trump’s running mate spoke to reporters after voting on Election Day in Ohio.,https://abcnews.go.com/Politics/video/jd-vance-love-dont-vote-115516232,https://i.abcnewsfe.com/a/f5811468-4fc5-44f8-bd58-fcafb929d903/241105_abcnl_9a_vance_hpMain_16x9.jpg?w=992,2024-11-05T14:37:03Z,"<ul><li>Trump and Harris make final push, get last-minute endorsements
</li><li>North Carolina voters head to polls in wake of hurricanes
</li><li>Harris makes final pitch to voters across Pennsylv… [+4168 chars]",abc-news,ABC News
3,,JD Vance Utterly Trashed Over 'Jaw-Dropping' Closing Insult Of Kamala Harris,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c4f1f5da-37f5-433e-b77a-55569c53cca2,,2024-11-05T08:51:50Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
4,Alexa Lisitza,"Gay Men Are Dragging J.D. Vance After He Said He Wouldn't Be Surprised If He And Trump Won ""The Normal Gay Guy Vote""","What exactly is a ""normal gay guy vote""?View Entire Post ›",https://www.buzzfeed.com/alexalisitza/reactions-jd-vance-normal-gay-comment,"https://img.buzzfeed.com/buzzfeed-static/static/2024-11/1/21/enhanced/417fdd057af7/original-6928-1730494815-3.jpg?crop=3008:1575;0,0%26downsize=1250:*",2024-11-04T13:02:02Z,"As someone who has been classified as a normal gay guy by conservatives my whole life, absolutely not. The gay men voting for Trump are just like him: theyre miserable, vain, attention seeking, self-… [+138 chars]",buzzfeed,Buzzfeed
5,,‘We expect to win’ says Trump’s running mate JD Vance,"A confident Republican vice presidential candidate JD Vance spoke to reporters in Cincinnati, Ohio.",https://www.aljazeera.com/program/newsfeed/2024/11/5/we-expect-to-win-says-trumps-running-mate-jd-vance,https://www.aljazeera.com/wp-content/uploads/2024/11/Screenshot-2024-11-05-at-16.58.53-1730829337.png?resize=1920%2C1440,2024-11-05T17:56:22Z,"NewsFeed
A confident Republican vice presidential candidate JD Vance spoke to reporters in Cincinnati, Ohio, after casting his vote in the 2024 US election. He said if you vote the wrong way, Im sti… [+41 chars]",al-jazeera-english,Al Jazeera English
6,"Emily Chang, Brittany Shepherd",Harris maintains polling lead among young voters as both candidates ramp up appeals,Former President Donald Trump and Vice President Kamala Harris have ramped up their courtship of young voters to push their candidacies over the finish line.,https://abcnews.go.com/Politics/harris-maintains-lead-young-voters-candidates-ramp-appeals/story?id=115273335,https://i.abcnewsfe.com/a/34f58ea7-34a9-4732-9fbd-3016e03e65a8/harris-supporter-2-rt-gmh-241031_1730400662132_hpMain_16x9.jpg?w=1600,2024-11-03T17:14:20Z,"As the race for the White House remains a toss up, former President Donald Trump and Vice President Kamala Harris have ramped up their courtship of a crucial voting bloc: young voters
A recent ABC N… [+6795 chars]",abc-news,ABC News
7,breakingthenews.net,Vance casts vote in Ohio,"Former United States President Donald Trump's running mate, Ohio Senator JD Vance, voted on Tuesday at the St. Anthony of Padua Church polling place in Cincinnati.""I felt good about my own race a coup...",https://biztoc.com/x/0622f112ca6ea2aa,https://biztoc.com/cdn/0622f112ca6ea2aa_s.webp,2024-11-05T15:30:28Z,"Former United States President Donald Trump's running mate, Ohio Senator JD Vance, voted on Tuesday at the St. Anthony of Padua Church polling place in Cincinnati.""I felt good about my own race a cou… [+69 chars]",,Biztoc.com
8,"Kyle Khan-Mullins, Forbes Staff, 
 Kyle Khan-Mullins, Forbes Staff
 https://www.forbes.com/sites/kylemullins/",Here’s How Much J.D. Vance Is Worth,"JD Vance's net worth was boosted by his book ""Hillbilly Elegy"" and his work in the military and venture capital.",https://www.forbes.com/sites/kylemullins/2024/11/04/heres-how-much-jd-vance-is-worth/,"https://imageio.forbes.com/specials-images/imageserve/669575aa5e3aedcc8dba5a07/0x0.jpg?format=jpg&crop=1920,1080,x0,y0,safe&height=900&width=1600&fit=bounds",2024-11-04T06:29:26Z,"J.D. Vance told the world about his impoverished upbringing in his bestselling book Hillbilly Elegy, and boosted his net worth by making a small fortune.
Update (Nov. 4, 2024): Two years ago, JD Van… [+9499 chars]",,Forbes
9,breakingthenews.net,"JD Vance slams Harris: 'Tomorrow, you're fired'","Republican vice presidential candidate JD Vance rallied supporters in Atlanta, taking aim at Vice President Kamala Harris. He criticized Harris in response to President Joe Biden' recent remarks t...",https://biztoc.com/x/c4c538f75498736e,https://biztoc.com/cdn/c4c538f75498736e_s.webp,2024-11-04T22:53:56Z,"Republican vice presidential candidate JD Vance rallied supporters in Atlanta, taking aim at Vice President Kamala Harris. He criticized Harris in response to President Joe Biden' recent remarks t...… [+65 chars]",,Biztoc.com
