,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Lauren Edmonds,I made Tim Walz's Turkey Trot Tater-Tot Hotdish ahead of his debate with JD Vance. Here's how to prepare the easy meal.,"As Gov. Tim Walz and Sen. JD Vance attempt to woo American voters this election season, they've both deployed a classic strategy: relatable foods.",https://www.businessinsider.com/tim-walz-turkey-trot-tater-tot-hotdish-recipe-2024-9,https://i.insider.com/66d8c143289b805d1db46519?width=1200&format=jpeg,2024-09-29T08:11:02Z,"Tim Walz's Turkey Trot Tater-Tot Hotdish went viral on social media in August. Lauren Edmonds/Business Insider
<ul><li>Minnesota Gov. Tim Walz will debate Ohio Sen. JD Vance on October 1.</li><li>Wa… [+6425 chars]",business-insider,Business Insider
1,"Brent D. Griffiths,John L. Dorman",The JD Vance and Tim Walz debate is likely the last big night of the 2024 campaign. Here's what to expect.,JD Vance and Tim Walz are both sons of the Midwest who on Tuesday are expected to clash in what will be their highest-profile appearance to date.,https://www.businessinsider.com/vance-walz-vice-presidential-debate-preview-2024-9,https://i.insider.com/66f71b39f9f6733e4be08846?width=1200&format=jpeg,2024-09-28T11:31:01Z,"Tim Walz and JD Vance will be secondary characters in their own debate.Drew Hallowell/Getty Images; Andrew Harnik/Getty Images; Brandon Bell/Getty Images; Rebecca Zisser/BI
<ul><li>Ohio Sen. JD Vanc… [+9910 chars]",business-insider,Business Insider
2,Aaron Pruner,How to Watch the Vance vs. Walz Vice Presidential Debate Without Cable,Learn what time the debate starts and where to stream it without cable.,https://www.cnet.com/tech/services-and-software/how-to-watch-the-vance-vs-walz-vice-presidential-debate-without-cable/,https://www.cnet.com/a/img/resize/df9b0e1977caa762bac1d1774fa0094df3520719/hub/2024/09/26/987a56d7-f6c0-40be-9b9e-1bb19d905712/gettyimages-2167077429-2165071369-tim-walz-jd-vance.png?auto=webp&fit=crop&height=675&width=1200,2024-09-29T12:00:42Z,"Republican Ohio Senator J.D. Vance and Tim Walz, the Democratic Governor of Minnesota, are gearing up to meet for Tuesday's first and only vice-presidential debate. The event will occur in New York C… [+2440 chars]",,CNET
3,Nik Popli,These Are the Rules of the CBS Vice-Presidential Debate,"From hot mics to no studio audience, here are the rules for when J.D. Vance and Tim Walz face off in the CBS vice-presidential debate.",https://time.com/7026036/vance-walz-debate-rules-cbs-2024-microphones/,https://api.time.com/wp-content/uploads/2024/09/vice-president-debate-2024.jpg?quality=85&w=1200&h=628&crop=1,2024-09-27T19:11:15Z,"J.D. Vance and Tim Walz are set to face off for the first time in a vice presidential debate on Oct. 1, in what will likely be the last major debate of the 2024 election cycle.
The match-up between … [+4230 chars]",time,Time
4,Brent D. Griffiths,JD Vance has broken through during the 2024 campaign in all the wrong ways,Poll averages show that JD Vance is the least liked of the four major figures in the 2024 race. Tuesday's VP debate is his best chance to change that.,https://www.businessinsider.com/jd-vance-unpopularity-struggles-polls-vp-debate-walz-trump-harris-2024-9,https://i.insider.com/66f7ed4cf44bdb4cfa37e73f?width=1200&format=jpeg,2024-09-30T09:31:02Z,"Polls show Sen. JD Vance of Ohio is the least liked of the major presidential nominees and their respective running mates.Melissa Sue Gerrits/Getty Images
<ul><li>Sen. JD Vance is one of the least-l… [+5021 chars]",business-insider,Business Insider
5,Sarah Beth Hensley,"Walz-Vance VP Debate: How to watch, what to know",Minnesota Gov. Tim Walz and Ohio Sen. JD Vance are set to face off in their only scheduled vice-presidential debate next week.,https://abcnews.go.com/Politics/walz-vance-vp-debate-watch/story?id=114201347,https://i.abcnewsfe.com/a/7ae13e56-512c-478c-a2e7-a8582156ec39/vance-walz-01-ss-jt-240926_1727376641113_hpMain_16x9.jpg?w=1600,2024-09-30T14:25:40Z,"Minnesota Gov. Tim Walz and Ohio Sen. JD Vance are set to hold their only scheduled vice-presidential debate on Tuesday.
The pair will face off just a few weeks after former President Donald Trump a… [+2257 chars]",abc-news,ABC News
6,David Frum,How Walz Can Win His Debate With Vance,The Republican running mate is a head case. Use that.,https://www.theatlantic.com/politics/archive/2024/09/tim-walz-debate-jd-vance/680060/,https://cdn.theatlantic.com/thumbor/2l7UUm3gDC3-hnOqh-R3s-PsIMw=/0x43:2000x1085/1200x625/media/img/mt/2024/09/Walz_Vance_final/original.jpg,2024-09-29T12:00:00Z,Kamala Harris used Donald Trump’s psychic weaknesses against him in their televised debate on September 10. Can Governor Tim Walz do the same to Senator J. D. Vance when they meet on Tuesday?Watch wh… [+11263 chars],,The Atlantic
7,Peter Kafka,You don't need a QR code to get the facts checked at Tuesday's VP debate,CBS News will fact-check the VP debate live on Tuesday — and it's promoting a newfangled technology to get you to its website: a QR code.,https://www.businessinsider.com/vice-presidential-debate-cbs-qr-code-fact-checking-vance-walz-2024-9,https://i.insider.com/66fb0be87518aa57bc9f7749?width=1200&format=jpeg,2024-09-30T20:45:58Z,"CBS News will play host to the vice presidential debate. It will also be fact-checking, which it's promoting by QR code. But you don't really need to use that.Chip Somodevilla/Getty Images
<ul><li>I… [+3339 chars]",business-insider,Business Insider
8,Majd Al-Waheidi,Q&A: Nevada Sen. Cortez Masto on teaming up with VP Harris as attorney generals,"Morning Edition spoke to Nevada Sen. Catherine Cortez Masto, who worked with VP Harris when the two were state attorneys general, on why that experience is relevant to being Commander in Chief.",https://www.npr.org/2024/09/26/nx-s1-5123701/kamala-harris-nevada-cortez-masto-attorney-general,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3820x2149+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fc2%2F5d%2F227e7d844731b739271ce772c84a%2Fap24235099365318.jpg,2024-09-27T09:00:11Z,"Vice President Kamala Harris frequently talks about her time as a prosecutor and how that experience has prepared her for the White House.
Nevada Sen. Catherine Cortez Masto told Morning Edition why… [+7136 chars]",,NPR
9,Bryan Metzger,Kamala Harris signals she'll go further than Biden on marijuana legalization,"Kamala Harris has historically supported marijuana legalization, but had yet to clarify her stance since launching her current campaign.",https://www.businessinsider.com/harris-marijuana-legalization-biden-views-election-2024-9,https://i.insider.com/66fac8a87518aa57bc9f3a1c?width=1200&format=jpeg,2024-09-30T16:40:06Z,"Vice President Kamala Harris has long held more progressive views on marijuana legalization than President Joe Biden.Chip Somodevilla/Getty Images
<ul><li>Kamala Harris may go further than Joe Biden… [+2649 chars]",business-insider,Business Insider
