,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Lily Hay Newman, Tess Owen",Russia Is Going All Out on Election Day Interference,Along with other foreign influence operations—including from Iran—Kremlin-backed campaigns to stoke division and fear have gone into overdrive.,https://www.wired.com/story/russia-election-disinformation-2024-election-day/,"https://media.wired.com/photos/672a7169889c531778153f5c/191:100/w_1280,c_limit/russia-election-disinfo-%201152460187.jpg",2024-11-05T21:04:35Z,"As the 2024 US presidential election comes to a close, and with Donald Trump on the ballot once again, Russian actors are spreading disinformation with unprecedented and alarming intensityand US offi… [+3512 chars]",wired,Wired
1,ktan@businessinsider.com (Kwan Wei Kevin Tan),"Judith Kent, wife of JPMorgan CEO Jamie Dimon, went door to door in Michigan canvassing voters for Kamala Harris","Kent's husband, Jamie Dimon, hasn't publicly endorsed either presidential candidate this election.",https://www.businessinsider.com/judith-dimon-door-to-door-michigan-canvassing-votes-kamala-harris-2024-11,https://i.insider.com/6728315888cea3ba1c1e00b6?width=1200&format=jpeg,2024-11-04T06:19:53Z,"Judith Kent, the wife of JPMorgan CEO Jamie Dimon, was out in Michigan canvassing voters for Vice President and Democratic presidential candidate Kamala Harris on Sunday.
Kent, who has been married … [+2752 chars]",business-insider,Business Insider
2,Ashia Aubourg,Kamala Harris Wants to Make Grocery Prices Cheaper for Americans — Here’s How,"The Harris-Walz campaign is committed to improving resources for “small businesses, grocers, and growers.”
READ MORE...",https://www.thekitchn.com/kamala-harris-proposes-cheaper-groceries-for-americans-23691216,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fill,g_auto,w_1500,ar_3:2/k%2FPhoto%2FLifestyle%2F2022-02-things-to-know-before-shopping-at-sprouts%2FSprouts-Storewide-Interior-2",2024-11-05T21:15:00Z,"We independently select these products—if you buy from one of our links, we may earn a commission. All prices were accurate at the time of publishing.
With only a few hours left before polls close, … [+3329 chars]",,Thekitchn.com
3,Eve Crosbie,Chloë Grace Moretz addresses her sexuality for the first time as she endorses Kamala Harris,"The actor, known for her roles in films such as ""Kick-Ass,"" said she supported legal protections for the LGBTQ+ community ""as a gay woman.""",https://www.businessinsider.com/chloe-grace-moretz-sexuality-gay-woman-supports-kamala-harris-election-2024-11,https://i.insider.com/6727a144192f52589855c2bf?width=1200&format=jpeg,2024-11-03T19:07:00Z,"Chloë Grace Moretz.Terence Rushin/Getty Images
<ul><li>Chloë Grace Moretz opened up about her sexuality as she endorsed Kamala Harris.</li><li>""I believe in the need for legal protections that prote… [+2138 chars]",business-insider,Business Insider
4,Chris DeVille,Watch Michael Stipe Perform With Jon Bon Jovi And The War & Treaty At Harris-Walz Rally In Atlanta,"Politics is about coalition-building, which is how you end up with musical artists from different contexts like Michael Stipe, Jon Bon Jovi, and the War & Treaty performing a song together onstage. At a rally for Kamala Harris and Tim Walz Sunday in the Atlan…",https://www.stereogum.com/2286388/watch-michael-stipe-perform-with-jon-bon-jovi-and-the-war-treaty-at-harris-walz-rally-in-atlanta/news/,https://static.stereogum.com/uploads/2024/11/Stipe-1730728164.png,2024-11-04T14:07:26Z,"Politics is about coalition-building, which is how you end up with musical artists from different contexts like Michael Stipe, Jon Bon Jovi, and the War &amp; Treaty performing a song together onstag… [+1762 chars]",,Stereogum
5,Ryland Barton,"Voters could flip these state legislatures, changing the path for some big issues","They don’t get as much attention as the presidential election, but state government races play a crucial role in the laws that govern our lives. This year, several state capitols are up for grabs.",https://www.npr.org/2024/11/05/nx-s1-5178076/legislature-elections-pennsylvania-michigan,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4200x2363+0+438/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F48%2F63%2Ff933dd5e44e6a6e411416e9dc07a%2Fgettyimages-1493012967.jpg,2024-11-05T09:30:00Z,"Tucked at the bottom of the ballot, races for the state legislature can have an enormous effect on issues from abortion to guns to voting access.
Control of legislatures
 is up for grabs in several… [+6236 chars]",,NPR
6,"Nicholas Kerr, Brittany Shepherd",How Nebraska’s 'blue dot' could prove pivotal in the Electoral College,The 2nd Congressional District could also be key to Democrats' Senate hopes.,https://abcnews.go.com/Politics/nebraskas-blue-dot-prove-pivotal-electoral-college/story?id=115274378,https://i.abcnewsfe.com/a/bce27750-1e1e-4e38-80d5-3e6c4cce67a7/Nebraska-blue-dot-gty-jm-241101_1730478365202_hpMain_16x9.jpg?w=1600,2024-11-03T10:07:04Z,"Amid an increasingly tight election between Kamala Harris and Donald Trump in several key swing states, Nebraska, and more specifically, its 2nd Congressional District, has taken on an outsize role i… [+6412 chars]",abc-news,ABC News
7,"Emily Chang, Brittany Shepherd",Harris maintains polling lead among young voters as both candidates ramp up appeals,Former President Donald Trump and Vice President Kamala Harris have ramped up their courtship of young voters to push their candidacies over the finish line.,https://abcnews.go.com/Politics/harris-maintains-lead-young-voters-candidates-ramp-appeals/story?id=115273335,https://i.abcnewsfe.com/a/34f58ea7-34a9-4732-9fbd-3016e03e65a8/harris-supporter-2-rt-gmh-241031_1730400662132_hpMain_16x9.jpg?w=1600,2024-11-03T17:14:20Z,"As the race for the White House remains a toss up, former President Donald Trump and Vice President Kamala Harris have ramped up their courtship of a crucial voting bloc: young voters
A recent ABC N… [+6795 chars]",abc-news,ABC News
8,"Kyle Khan-Mullins, Forbes Staff, 
 Kyle Khan-Mullins, Forbes Staff
 https://www.forbes.com/sites/kylemullins/",Here’s How Much Tim Walz Is Worth,The Minnesota governor has pensions galore from his decades in the public sector. A gig as VP could make him richer.,https://www.forbes.com/sites/kylemullins/2024/11/04/heres-how-much-kamala-harris-vp-pick-tim-walz-is-worth/,"https://imageio.forbes.com/specials-images/imageserve/66b398fc29c261ffaac09fdc/0x0.jpg?format=jpg&crop=1920,1080,x0,y0,safe&height=900&width=1600&fit=bounds",2024-11-04T06:31:35Z,"Minnesota governor Tim Walz has pensions galore from his decades in the public sector. A gig as Kamala Harris Vice President could make him richer.
Update (Nov. 4, 2024): The Minnesota governor has … [+11754 chars]",,Forbes
9,ggoodwin@businessinsider.com (Grace Eliza Goodwin),Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power,"Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.",https://www.businessinsider.com/election-day-executives-speak-trump-harris-starbucks-meta-musk-2024-11,https://i.insider.com/672a54c1192f5258985629c6?width=1200&format=jpeg,2024-11-05T22:01:56Z,"Election Day has finally come, and executives at some of the biggest companies are speaking out with former Starbucks CEO Howard Schultz urging a peaceful transition of power and Elon Musk reiteratin… [+8192 chars]",business-insider,Business Insider
